Filename,mIoU_Animals_Only
o_1034860_20_semantic.png,0.7307
o_1034424_12_semantic.png,0.9143
o_1036153_12_semantic.png,0.1757
o_1034729_0_semantic.png,0.0000
o_1035997_17_semantic.png,0.0782
o_1034694_0_semantic.png,0.7338
o_1035330_17_semantic.png,0.0000
o_1034804_0_semantic.png,0.0000
o_1034737_0_semantic.png,0.7589
o_1035412_17_semantic.png,0.0021
o_1035852_7_semantic.png,0.7833
o_1034875_7_semantic.png,0.0004
o_1034736_20_semantic.png,0.1849
o_1034746_7_semantic.png,0.0718
o_1035588_7_semantic.png,0.4507
o_1035018_17_semantic.png,0.2138
o_1034865_12_semantic.png,0.0000
o_1035444_0_semantic.png,0.0000
o_1036169_20_semantic.png,0.0416
o_1034509_12_semantic.png,0.8981
o_1036180_20_semantic.png,0.0557
o_1036285_0_semantic.png,0.0016
o_1035283_7_semantic.png,0.0000
o_1036338_0_semantic.png,0.0000
o_1034966_17_semantic.png,0.3041
o_1035320_7_semantic.png,0.7211
o_1035847_20_semantic.png,0.0002
o_1035639_12_semantic.png,0.0000
o_1035950_12_semantic.png,0.2711
o_1036050_17_semantic.png,0.0000
o_1035983_20_semantic.png,0.7906
o_1034527_17_semantic.png,0.0002
o_1034722_17_semantic.png,0.0000
o_1036255_17_semantic.png,0.0000
o_1035406_20_semantic.png,0.0000
o_1035036_12_semantic.png,0.0000
o_1035074_7_semantic.png,0.0000
o_1035511_12_semantic.png,0.0000
o_1035696_7_semantic.png,0.0057
o_1034821_7_semantic.png,0.6209
o_1035028_17_semantic.png,0.0000
o_1035735_7_semantic.png,0.2647
o_1035806_7_semantic.png,0.0254
o_1035863_17_semantic.png,0.0831
o_1035869_0_semantic.png,0.2530
o_1034763_0_semantic.png,0.0087
o_1034850_0_semantic.png,0.0000
o_1013546_20_semantic.png,0.3275
o_1035744_0_semantic.png,0.0628
o_1027181_0_semantic.png,0.0000
o_1035627_17_semantic.png,0.0000
o_1034594_0_semantic.png,0.0000
o_1035410_0_semantic.png,0.0000
o_1034429_0_semantic.png,0.8411
o_1034503_20_semantic.png,0.4643
o_1036163_12_semantic.png,0.2596
o_1034414_12_semantic.png,0.0000
o_1034706_20_semantic.png,0.0000
o_1034978_12_semantic.png,0.0000
o_1034446_7_semantic.png,0.0000
o_1036298_20_semantic.png,0.7809
o_1034991_12_semantic.png,0.0000
o_1035105_17_semantic.png,0.0000
o_1035305_0_semantic.png,0.8995
o_1036303_7_semantic.png,0.0000
o_1036089_17_semantic.png,0.0000
o_1035724_12_semantic.png,0.2176
o_1035314_20_semantic.png,0.9285
o_1035374_7_semantic.png,0.6177
o_1035521_12_semantic.png,0.0000
o_1035436_20_semantic.png,0.9422
o_1035111_20_semantic.png,0.0000
o_1036265_17_semantic.png,0.0000
o_1035020_7_semantic.png,0.0000
o_1036026_0_semantic.png,0.1458
o_1036185_0_semantic.png,0.0086
o_1035989_12_semantic.png,0.1263
o_1035960_12_semantic.png,0.4398
o_1036049_7_semantic.png,0.0000
o_1035114_12_semantic.png,0.0636
o_1035433_12_semantic.png,0.4046
o_1036275_0_semantic.png,0.0000
